game_id	home_team_id	away_team_id	date	neutral_site	game_link
mercer-memphis	404	0	09/01/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/01/mercer-memphis#boxscore
maryland-bowling-green	71	0	09/08/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/08/maryland-bowling-green#boxscore
miami-oh-buffalo	86	0	10/30/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/30/miami-oh-buffalo#boxscore
wake-forest-nc-state	0	749	11/08/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/08/wake-forest-nc-state#boxscore
south-alabama-memphis	0	646	09/22/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/22/south-alabama-memphis#boxscore
charlotte-marshall	0	458	11/10/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/10/charlotte-marshall#boxscore
central-mich-toledo	709	0	11/23/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/23/central-mich-toledo#boxscore
fla-atlantic-middle-tenn	0	229	09/29/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/29/fla-atlantic-middle-tenn#boxscore
navy-army-west-point	0	725	12/08/2018	1	http://www.ncaa.com/game/football/fbs/2018/12/08/navy-army-west-point#boxscore
clemson-wake-forest	0	147	10/06/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/06/clemson-wake-forest#boxscore
stanford-ucla	110	0	11/24/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/24/stanford-ucla#boxscore
miami-oh-minnesota	428	0	09/15/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/15/miami-oh-minnesota#boxscore
texas-kansas	328	0	11/23/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/23/texas-kansas#boxscore
notre-dame-virginia-tech	742	0	10/06/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/06/notre-dame-virginia-tech#boxscore
nc-state-marshall	388	0	09/22/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/22/nc-state-marshall#boxscore
appalachian-st-arkansas-st	30	0	10/09/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/09/appalachian-st-arkansas-st#boxscore
northern-ill-buffalo	0	503	11/30/2018	1	http://www.ncaa.com/game/football/fbs/2018/11/30/northern-ill-buffalo#boxscore
akron-south-carolina	0	5	12/01/2018	0	http://www.ncaa.com/game/football/fbs/2018/12/01/akron-south-carolina#boxscore
cincinnati-miami-oh	0	140	09/08/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/08/cincinnati-miami-oh#boxscore
illinois-rutgers	0	301	10/06/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/06/illinois-rutgers#boxscore
tcu-texas	703	0	09/22/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/22/tcu-texas#boxscore
howard-ohio	519	0	09/01/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/01/howard-ohio#boxscore
washington-st-oregon-st	0	754	10/06/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/06/washington-st-oregon-st#boxscore
old-dominion-east-carolina	0	523	09/29/2018	0	http://www.ncaa.com/game/football/fbs/2018/09/29/old-dominion-east-carolina#boxscore
stanford-washington	756	0	11/03/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/03/stanford-washington#boxscore
western-mich-ball-st	47	0	11/13/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/13/western-mich-ball-st#boxscore
utah-colorado	157	0	11/17/2018	0	http://www.ncaa.com/game/football/fbs/2018/11/17/utah-colorado#boxscore
san-diego-st-boise-st	66	0	10/06/2018	0	http://www.ncaa.com/game/football/fbs/2018/10/06/san-diego-st-boise-st#boxscore
