team_id	team_name	team_url
721	Air Force	http://stats.ncaa.org/team/721/14280
5	Akron	http://stats.ncaa.org/team/5/14280
8	Alabama	http://stats.ncaa.org/team/8/14280
27	Appalachian St.	http://stats.ncaa.org/team/27/14280
29	Arizona	http://stats.ncaa.org/team/29/14280
28	Arizona St.	http://stats.ncaa.org/team/28/14280
31	Arkansas	http://stats.ncaa.org/team/31/14280
30	Arkansas St.	http://stats.ncaa.org/team/30/14280
725	Army West Point	http://stats.ncaa.org/team/725/14280
37	Auburn	http://stats.ncaa.org/team/37/14280
77	BYU	http://stats.ncaa.org/team/77/14280
47	Ball St.	http://stats.ncaa.org/team/47/14280
51	Baylor	http://stats.ncaa.org/team/51/14280
66	Boise St.	http://stats.ncaa.org/team/66/14280
67	Boston College	http://stats.ncaa.org/team/67/14280
71	Bowling Green	http://stats.ncaa.org/team/71/14280
86	Buffalo	http://stats.ncaa.org/team/86/14280
107	California	http://stats.ncaa.org/team/107/14280
129	Central Mich.	http://stats.ncaa.org/team/129/14280
458	Charlotte	http://stats.ncaa.org/team/458/14280
140	Cincinnati	http://stats.ncaa.org/team/140/14280
147	Clemson	http://stats.ncaa.org/team/147/14280
149	Coastal Caro.	http://stats.ncaa.org/team/149/14280
157	Colorado	http://stats.ncaa.org/team/157/14280
156	Colorado St.	http://stats.ncaa.org/team/156/14280
193	Duke	http://stats.ncaa.org/team/193/14280
196	East Carolina	http://stats.ncaa.org/team/196/14280
204	Eastern Mich.	http://stats.ncaa.org/team/204/14280
231	FIU	http://stats.ncaa.org/team/231/14280
229	Fla. Atlantic	http://stats.ncaa.org/team/229/14280
235	Florida	http://stats.ncaa.org/team/235/14280
234	Florida St.	http://stats.ncaa.org/team/234/14280
96	Fresno St.	http://stats.ncaa.org/team/96/14280
253	Ga. Southern	http://stats.ncaa.org/team/253/14280
257	Georgia	http://stats.ncaa.org/team/257/14280
254	Georgia St.	http://stats.ncaa.org/team/254/14280
255	Georgia Tech	http://stats.ncaa.org/team/255/14280
277	Hawaii	http://stats.ncaa.org/team/277/14280
288	Houston	http://stats.ncaa.org/team/288/14280
301	Illinois	http://stats.ncaa.org/team/301/14280
306	Indiana	http://stats.ncaa.org/team/306/14280
312	Iowa	http://stats.ncaa.org/team/312/14280
311	Iowa St.	http://stats.ncaa.org/team/311/14280
328	Kansas	http://stats.ncaa.org/team/328/14280
327	Kansas St.	http://stats.ncaa.org/team/327/14280
331	Kent St.	http://stats.ncaa.org/team/331/14280
334	Kentucky	http://stats.ncaa.org/team/334/14280
365	LSU	http://stats.ncaa.org/team/365/14280
498	La.-Monroe	http://stats.ncaa.org/team/498/14280
355	Liberty	http://stats.ncaa.org/team/355/14280
671	Louisiana	http://stats.ncaa.org/team/671/14280
366	Louisiana Tech	http://stats.ncaa.org/team/366/14280
367	Louisville	http://stats.ncaa.org/team/367/14280
388	Marshall	http://stats.ncaa.org/team/388/14280
392	Maryland	http://stats.ncaa.org/team/392/14280
400	Massachusetts	http://stats.ncaa.org/team/400/14280
404	Memphis	http://stats.ncaa.org/team/404/14280
415	Miami (FL)	http://stats.ncaa.org/team/415/14280
414	Miami (OH)	http://stats.ncaa.org/team/414/14280
418	Michigan	http://stats.ncaa.org/team/418/14280
416	Michigan St.	http://stats.ncaa.org/team/416/14280
419	Middle Tenn.	http://stats.ncaa.org/team/419/14280
428	Minnesota	http://stats.ncaa.org/team/428/14280
430	Mississippi St.	http://stats.ncaa.org/team/430/14280
434	Missouri	http://stats.ncaa.org/team/434/14280
490	NC State	http://stats.ncaa.org/team/490/14280
726	Navy	http://stats.ncaa.org/team/726/14280
463	Nebraska	http://stats.ncaa.org/team/463/14280
466	Nevada	http://stats.ncaa.org/team/466/14280
473	New Mexico	http://stats.ncaa.org/team/473/14280
472	New Mexico St.	http://stats.ncaa.org/team/472/14280
457	North Carolina	http://stats.ncaa.org/team/457/14280
497	North Texas	http://stats.ncaa.org/team/497/14280
503	Northern Ill.	http://stats.ncaa.org/team/503/14280
509	Northwestern	http://stats.ncaa.org/team/509/14280
513	Notre Dame	http://stats.ncaa.org/team/513/14280
519	Ohio	http://stats.ncaa.org/team/519/14280
